date,MKT,TB,TS,DEF,INF,VIX,DXY_RET
2020-11-24,0.016158096844844823,0.09,0.79,0.9300000000000002,1.65,3.0745434257734945,-0.003026686550980151
2020-11-25,-0.0015879896660964045,0.09,0.79,0.9400000000000004,1.67,3.056356895370426,-0.0026022496414234153
2020-11-26,-3.5714285714285714e-06,0.09,0.79,0.9400000000000004,1.67,3.056356895370426,0.0
2020-11-27,0.0023934077695827523,0.09,0.75,0.96,1.67,3.036874224207042,-0.0021741162396630154
2020-11-30,-0.00459872324334558,0.08,0.76,0.9299999999999997,1.68,3.0238336888289017,0.0008715745751906034
2020-12-01,0.011267615766204726,0.09,0.8300000000000001,0.9700000000000002,1.72,3.0335096599276774,-0.006095626115665054
2020-12-02,0.001787595326253729,0.09,0.86,0.94,1.76,3.0525850887506447,-0.0020807668063926865
2020-12-03,-0.0006273318162661061,0.08,0.8400000000000001,0.94,1.78,3.057767696740619,-0.004499601072770587
2020-12-04,0.008832703701040397,0.09,0.88,0.9400000000000004,1.83,3.03447214590683,-0.00011026497995170192
2020-12-07,-0.0019388122746119435,0.08,0.86,0.9000000000000004,1.84,3.058707036896625,0.0009923260233020148
2020-12-08,0.0027835766367848643,0.09,0.8300000000000001,0.8900000000000001,1.84,3.0291670643972775,0.0019826005436793803
2020-12-09,-0.007952376207773159,0.08,0.87,0.8999999999999999,1.84,3.1032405018244478,0.001319062499475887
2020-12-10,-0.0012882826714370338,0.08,0.8400000000000001,0.8500000000000001,1.83,3.1144038235984732,-0.0032933959207822605
2020-12-11,-0.0012681719029252064,0.08,0.8200000000000001,0.8599999999999999,1.82,3.1488824301365708,0.0020927683609457404
2020-12-14,-0.004362830400529197,0.09,0.81,0.8900000000000001,1.84,3.2076126048125677,-0.0029677320564789333
2020-12-15,0.012918074551534221,0.08,0.8400000000000001,0.8700000000000001,1.86,3.1307001072999245,-0.0026457707660876295
2020-12-16,0.0017692237383876229,0.09,0.8300000000000001,0.8999999999999999,1.9,3.1135153092103742,-0.00022111497945198622
2020-12-17,0.005754480150205145,0.08,0.86,0.8900000000000001,1.9,3.087855576345701,-0.006965143998605927
2020-12-18,-0.0035142931123274693,0.08,0.87,0.8700000000000001,1.92,3.0713034462529065,0.002226641604561319
2020-12-21,-0.003909850480415359,0.09,0.86,0.9000000000000004,1.9,3.2252554257675383,0.00022222032000573932
2020-12-22,-0.002076664288859435,0.09,0.8400000000000001,0.9199999999999999,1.92,3.1875915159360004,0.006774773480109575
2020-12-23,0.0007422398222535285,0.09,0.87,0.9200000000000004,1.93,3.1488824301365708,-0.002647521894426186
2020-12-24,0.0035330175762248246,0.09,0.85,0.9100000000000001,1.92,3.0694473432687706,-0.0008848780866516082
2020-12-25,-3.5714285714285714e-06,0.09,0.85,0.9100000000000001,1.92,3.0694473432687706,0.0
2020-12-28,0.008718163941779485,0.11,0.83,0.9100000000000001,1.92,3.0773122957049135,0.00011064437765240243
2020-12-29,-0.002231348779568374,0.1,0.84,0.9100000000000001,1.9,3.138966438334269,-0.003652802911635167
