date,actual,rw,ar,har,arfima,fnn,lstm,nar
2023-03-31,-4.995260,-4.409484,-4.414379,-4.374202,-4.386775,-4.453097,-4.466382,-4.389703
2023-04-03,-4.511605,-4.995260,-4.747355,-4.703036,-4.697025,-4.750371,-4.735543,-4.686911
2023-04-04,-4.537379,-4.511605,-4.579678,-4.498076,-4.510091,-4.633761,-4.629277,-4.584263
2023-04-05,-4.386038,-4.537379,-4.553973,-4.510169,-4.508702,-4.624906,-4.587153,-4.530018
2023-04-06,-4.900351,-4.386038,-4.505885,-4.432053,-4.427562,-4.464903,-4.472106,-4.503796
2023-04-10,-4.684586,-4.900351,-4.700358,-4.707742,-4.680590,-4.716306,-4.705007,-4.708362
2023-04-11,-4.992272,-4.684586,-4.662294,-4.588547,-4.615928,-4.712566,-4.685634,-4.689507
2023-04-12,-4.596638,-4.992272,-4.808170,-4.769496,-4.779477,-4.869981,-4.833958,-4.850799
2023-04-13,-4.788800,-4.596638,-4.695840,-4.596225,-4.610175,-4.717531,-4.687750,-4.696599
2023-04-14,-4.027789,-4.788800,-4.727341,-4.720004,-4.689380,-4.779834,-4.734008,-4.718768
2023-04-17,-4.360135,-4.027789,-4.368893,-4.309864,-4.306125,-4.338400,-4.347045,-4.363904
2023-04-18,-4.688512,-4.360135,-4.381419,-4.445702,-4.402852,-4.348690,-4.369875,-4.367901
2023-04-19,-4.846216,-4.688512,-4.581649,-4.583574,-4.570407,-4.517612,-4.545534,-4.617886
